:GT2K_RECIPE,0
:RECIPE_ID,1
:RECIPE_NAME,"Recept"
:DEVICE_NUM,23
:RECORD_NUM,20
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,L
,DEV_COMMENT,DEV_TYPE,DISP_TYPE,DEV_SIZE,1
:RECORD_NAME,,,,,"Record 1"
:RECORD_ATTR,,,,,
:UPDATE,,,,,2023/02/14 18:38:06
1,,REAL,REAL_FLOAT,2,"3.58E+001"
2,,REAL,REAL_FLOAT,2,"3.76E+001"
3,,REAL,REAL_FLOAT,2,"3.50E+001"
4,,REAL,REAL_FLOAT,2,"3.000E+002"
5,,REAL,REAL_FLOAT,2,"6.500E+002"
6,,REAL,REAL_FLOAT,2,"3.65E+001"
7,,REAL,REAL_FLOAT,2,"3.87E+001"
8,,REAL,REAL_FLOAT,2,"3.60E+001"
9,,REAL,REAL_FLOAT,2,"5.000E+002"
10,,REAL,REAL_FLOAT,2,"3.500E+003"
11,,BIN32,DEC,2,"40"
12,,BIN32,DEC,2,"70"
13,,BIN16,DEC,1,"100"
14,,BIN16,DEC,1,"20"
15,,BIN16,DEC,1,"500"
16,,BIN16,DEC,1,"500"
17,,BIN16,DEC,1,"80"
18,,BIN16,DEC,1,"70"
19,,BIN16,DEC,1,"20"
20,,REAL,REAL_FLOAT,2,"3.700E+003"
21,,REAL,REAL_FLOAT,2,"7.000E+003"
22,,REAL,REAL_FLOAT,2,"9.0000E+003"
23,,REAL,REAL_FLOAT,2,"1.2000E+004"
